participant,ROI,fold,n_voxels,d_vis,d_vis_reason,vis_peak_test_r,d_img,d_img_reason,img_peak_test_r,TV_vis,TV_img,alignment_ratio,alignment_evaluable,alignment_reason,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile,vis_projector_hash,img_projector_hash,v2v_r_model,v2i_r_model,dimension_ratio_fold
subj03,hV4,fold_3,9,1.0,OK,0.5290835279936942,6.0,OK,0.09297199775457143,7.529700909621857,7.130496038935924,0.9469826390878544,True,OK,6.0,0.7473856862412502,0.2465003756922997,1.010019252302144,0.68,d664031221a536a3,9a1c4618e75d5340,6,4,6.0
subj03,ventral,fold_0,164,1.0,OK,0.35036545003960295,11.0,OK,0.164848430534005,73.48626697110205,46.18104389643267,0.6284309409075445,True,OK,11.0,0.3147293729228862,0.12086874172825841,0.8491164950389871,0.78,e0834f081ebe5f18,9768878c0a4d7ee9,11,12,11.0
subj03,ventral,fold_1,164,1.0,OK,0.3275114458996757,12.0,OK,0.0031088977781490554,80.56347638131834,56.371875177627885,0.6997199935962523,True,OK,12.0,0.29860467039500843,0.0972186846471007,0.8152874810312501,0.78,e8da745b4dd2a68f,e0f91e920526c7d5,6,4,12.0
subj03,ventral,fold_2,164,2.0,OK,0.2890003172840397,1.0,OK,0.151976099083053,28.406493381265893,28.073905551254732,0.98829183787146,True,OK,1.0,0.06409801943406192,0.012177119108056075,0.0937340153579769,0.97,58f161d90472d138,38cffd2fbcd9ac04,11,12,0.5
subj03,ventral,fold_3,164,2.0,OK,0.3511476497697398,10.0,OK,0.02726180213480649,76.80829502303725,54.05391258195168,0.7037509759296076,True,OK,10.0,0.2778154479589837,0.06535468669767788,0.912547613350719,0.78,c4cd28c1e8aa6a1f,954feac2f7b86498,4,9,5.0
subj03,lateral,fold_0,172,9.0,OK,0.12385403828151685,2.0,OK,0.16308015379729338,64.63713276946073,74.87822706664171,1.1584397985861714,True,OK,2.0,0.07549954924574481,0.014671692176081452,0.2351428233246368,1.0,757af3a1f36b2f8e,78f3c1b0d650a2fa,5,3,0.2222222222222222
subj03,lateral,fold_1,172,1.0,OK,0.23010237336309505,9.0,OK,0.06653391084063333,78.30733837858693,66.81996253658902,0.8533039676759193,True,OK,9.0,0.2024430831058847,0.08761267832839864,0.8325874454281544,0.97,9a25810d61c8c0a8,d0dea16b79c3bea4,4,2,9.0
subj03,lateral,fold_2,172,8.0,OK,0.14117823579051955,10.0,OK,0.0016597642617351119,80.57894813528429,48.50569550780108,0.6019648634078059,True,OK,10.0,0.27490369300598316,0.05637677479337406,0.8120598163481056,0.77,eeeba6bf786a6840,251b8ee131ddf068,6,7,1.25
subj03,lateral,fold_3,172,4.0,OK,0.4843550642854081,2.0,OK,0.13157751386509114,51.16821496455033,30.977868621063845,0.605412337376348,True,OK,2.0,0.08727676299947529,0.012570970239593254,0.8285934038685344,0.94,336fd648a9548f18,842b5c2e9dbc76ce,8,12,0.5
subj03,parietal,fold_0,78,1.0,OK,0.13425270943527995,11.0,OK,0.25239616170247076,48.95870224524961,48.267761226225346,0.9858872685071772,True,OK,11.0,0.3654290769744321,0.07990854522383502,0.9322080828371243,1.0,e4965393acc706d2,edbd80e54079e767,12,3,11.0
