subject,roi,M,d,OUT_BASIS_RECOVERY,R_AUG_minus_BASE,R_COND_minus_BASE
subj07,lateral,8,2,0.9862626873567257,0.6077391512135439,0.6162041401387094
subj07,lateral,8,4,0.9833422714679996,0.6184966379646692,0.6289739146892728
subj07,lateral,8,6,0.9912527626001609,0.6257736334279085,0.631295727021671
subj07,lateral,8,8,0.9827124437603052,0.6322551910316819,0.6433776177824571
subj07,lateral,10,1,1.0,0.47913305036418896,0.47913305036418896
subj07,lateral,10,2,1.0,0.6162041401387093,0.6162041401387093
subj07,lateral,10,4,1.0,0.6289739146892729,0.6289739146892729
subj07,lateral,10,6,1.0,0.631295727021671,0.631295727021671
subj07,lateral,10,8,1.0,0.643377617782457,0.643377617782457
subj07,lateral,10,10,1.0,0.6467250437114133,0.6467250437114133
subj08,lateral,2,1,0.77080127202076,0.19601460666607035,0.25429979656389445
subj08,lateral,2,2,0.9864523944727436,0.314669737425016,0.31899130580265483
subj08,lateral,4,1,0.8983776887317962,0.22845726348203754,0.2542997965638945
subj08,lateral,4,2,1.0,0.35297506323903904,0.3189913058026547
subj08,lateral,4,4,0.7961681453408687,0.4649931015320927,0.5840388167414211
subj08,lateral,6,1,0.9622887857421214,0.24470984244993843,0.2542997965638944
subj08,lateral,6,2,1.0,0.3605691885030714,0.3189913058026548
subj08,lateral,6,4,0.9047621416551872,0.5284162106447294,0.584038816741421
subj08,lateral,6,6,0.9037410484178968,0.5436919361235004,0.6016014621392887
subj08,lateral,8,1,0.9844592183030144,0.2503477789399071,0.25429979656389445
subj08,lateral,8,2,1.0,0.35713663076454527,0.3189913058026548
subj08,lateral,8,4,0.9622999525497835,0.5620205256375012,0.584038816741421
subj08,lateral,8,6,0.9660147244868392,0.5811558706993648,0.6016014621392889
subj08,lateral,8,8,0.9648089450366452,0.5875484759569038,0.608979092678901
subj08,lateral,10,1,1.0,0.25429979656389445,0.25429979656389445
subj08,lateral,10,2,1.0,0.3189913058026548,0.3189913058026548
subj08,lateral,10,4,1.0,0.5840388167414209,0.5840388167414209
subj08,lateral,10,6,1.0,0.6016014621392888,0.6016014621392888
subj08,lateral,10,8,1.0,0.6089790926789009,0.6089790926789009
subj08,lateral,10,10,1.0,0.614996231178219,0.614996231178219
