participant,ROI,beta,fold,n_voxels,v2v_lam,v2v_rank,v2v_val,v2i_lam,v2i_rank,v2i_val,test_r,median,std,finite_frac,target_constant,prediction_constant
subj02,hV4,B0,0,10,0.001,1,0.6116363332178727,1.7073526474706922,1,0.12665891481536276,0.09156128940739225,0.08507654678042148,0.18968306910293778,1.0,0,0
subj02,hV4,B0,1,10,0.001,1,0.6161820643792891,0.013530477745798075,4,0.17524687197750582,0.04404837171513436,0.037259903143701076,0.11475388398339137,1.0,0,0
subj02,hV4,B0,2,10,0.001,2,0.612582442533693,100000.0,2,0.17342471366277123,0.136157096118185,0.15582643525694262,0.15184336286753686,1.0,0,0
subj02,hV4,B0,3,10,19.179102616724887,3,0.4676360863585109,0.4641588833612782,3,0.2500748228865792,0.1922023567935113,0.21656331043792007,0.17041223437104086,1.0,0,0
subj02,hV4,B1,0,10,70.54802310718645,3,0.6134434198623284,0.013530477745798075,1,0.14747077052005586,0.10672632325689584,0.08498900968034728,0.11660363598998848,1.0,0,0
subj02,hV4,B1,1,10,19.179102616724887,3,0.6011201171821866,0.04132012400115339,1,0.20976879942627943,0.0852471674116495,0.041794679003509326,0.15278637891987076,1.0,0,0
subj02,hV4,B1,2,10,7.56463327554629,2,0.6186272491188313,0.03430469286314919,1,0.1775151187345983,-0.17381082654341715,-0.13877121483019111,0.16640996908491945,1.0,0,0
subj02,hV4,B1,3,10,0.001,3,0.4074985795188829,0.001,7,0.07322062443402089,-0.0249170895900847,0.10779135506112056,0.29077471385720516,1.0,0,0
subj02,ventral,B0,0,164,259.5024211399737,3,0.3953433171904114,3.5938136638046294,3,0.15614925663273485,0.18391449818342342,0.21758634220643117,0.2266621386293394,1.0,0,0
subj02,ventral,B0,1,164,178.8649529057435,7,0.5039681225986469,1.4174741629268062,4,0.25773006341772536,0.24164854696431975,0.2574469934295841,0.20809982051958525,1.0,0,0
subj02,ventral,B0,2,164,215.44346900318865,8,0.5086972296173304,0.001,1,0.18742001971178954,0.12490714083798493,0.1416221158113956,0.22344392109074576,1.0,0,0
subj02,ventral,B0,3,164,2420.1282647943835,1,0.34256297141534564,0.10476157527896651,11,0.11874458352676097,0.08585269446810247,0.08471496944376491,0.20626360242384303,1.0,0,0
subj02,ventral,B1,0,164,312.57158496882414,4,0.30709664207440934,0.001,3,0.11891226385217916,0.04863964297553689,0.04501160302636637,0.2218771765512086,1.0,0,0
subj02,ventral,B1,1,164,259.5024211399737,4,0.3567735973318902,123.28467394420684,2,0.11930052447321501,0.11570978706560055,0.13204164890255515,0.19755573068239501,1.0,0,0
subj02,ventral,B1,2,164,178.8649529057435,3,0.3792904535240024,32745.491628777316,3,0.0945481242925201,0.11958202503597706,0.12184698593053642,0.22142497460170865,1.0,0,0
subj02,ventral,B1,3,164,0.001,4,0.12422531233152508,0.004430621457583882,4,0.17708729613977006,0.09333316985085673,0.0991319508140055,0.21458119804424722,1.0,0,0
subj02,lateral,B0,0,136,123.28467394420684,1,0.43185800722758094,0.04132012400115339,3,0.10788741823242394,0.1730111062441081,0.211582480444983,0.2280975199951677,1.0,0,0
subj02,lateral,B0,1,136,102.35310218990269,2,0.5216724326193884,123.28467394420684,2,0.25625744125414607,0.2786737398318337,0.3005466361993102,0.23016996830926684,1.0,0,0
subj02,lateral,B0,2,136,13.219411484660315,3,0.5704251269210332,0.049770235643321115,3,0.21652677892105537,0.31914366228693825,0.3589331256971139,0.29048927359423116,1.0,0,0
