subject,roi,fold,pair,s1,s2,AXIS_SINGULAR_GAP,s2_over_s1
subj01,ventral,4,11,10.057429998288876,6.3189334680570886,0.3717148944479691,0.6282851055520309
subj01,ventral,4,12,9.447938505780245,7.233140791736129,0.23442126689214837,0.7655787331078516
subj01,ventral,4,13,10.128629359514658,7.017833422063736,0.30712901292302636,0.6928709870769736
subj01,ventral,4,14,9.737504935643097,6.315780913013308,0.3513963839037384,0.6486036160962616
subj01,ventral,4,15,9.130094525391263,6.893563936694536,0.2449624790276618,0.7550375209723382
subj01,ventral,4,16,9.844695311669824,6.813052923052306,0.30794679699470573,0.6920532030052943
subj01,ventral,4,17,9.380818222693868,7.472416929117998,0.20343654980533665,0.7965634501946633
subj01,ventral,4,18,9.978465258361219,7.384053581715645,0.2600010732583999,0.7399989267416001
subj01,ventral,4,19,9.381223510466686,6.996830277149529,0.25416655201284516,0.7458334479871548
subj01,ventral,4,20,9.250550368476436,6.655638638217184,0.28051430746240386,0.7194856925375962
subj01,ventral,4,21,10.126123467764799,6.307748999277191,0.3770815634080414,0.6229184365919586
subj01,ventral,4,22,9.444711502184864,7.322878391770925,0.22465832968249913,0.7753416703175009
subj01,ventral,4,23,9.574029904240069,7.837239667960934,0.18140639350937887,0.8185936064906211
subj01,ventral,4,24,9.610596282875298,6.60225609761745,0.3130232606501511,0.6869767393498489
subj01,ventral,5,0,8.690308606129332,6.556941616459673,0.24548805875144422,0.7545119412485558
subj01,ventral,5,1,9.242326592185067,6.8789535717453205,0.2557119137553653,0.7442880862446347
subj01,ventral,5,2,9.149228338338219,7.135487819462323,0.22009949302911952,0.7799005069708805
subj01,ventral,5,3,9.397126580051166,7.662602163320567,0.18458029717432567,0.8154197028256743
subj01,ventral,5,4,9.096642218686725,6.821895439188344,0.2500644440896549,0.7499355559103451
subj01,ventral,5,5,9.644955826499094,6.600977713054746,0.31560311609527036,0.6843968839047296
subj01,ventral,5,6,10.438386955025859,6.4702251497086944,0.38015086262026143,0.6198491373797386
subj01,ventral,5,7,10.147313456709858,7.052568883177199,0.3049816669934716,0.6950183330065284
subj01,ventral,5,8,10.393031218044156,7.55575903583,0.27299756179776935,0.7270024382022306
subj01,ventral,5,9,10.089874957647664,6.750163924601018,0.33099627567884754,0.6690037243211524
subj01,ventral,5,10,9.420582709826578,6.53005603807757,0.3068309849595513,0.6931690150404487
subj01,ventral,5,11,10.266171622444634,6.341954487304518,0.38224737316495994,0.6177526268350401
subj01,ventral,5,12,9.839787790101234,7.118722165965704,0.27653702317370144,0.7234629768262986
subj01,ventral,5,13,10.493659767828532,7.055397081212117,0.32765143550369746,0.6723485644963025
subj01,ventral,5,14,9.781737228579436,6.817538943836409,0.30303393103655335,0.6969660689634467
subj01,ventral,5,15,9.63967323150763,6.69560097032231,0.30541203944159745,0.6945879605584026
subj01,ventral,5,16,10.33412564520543,6.722044001681771,0.34952948778975834,0.6504705122102417
subj01,ventral,5,17,10.046772809602256,7.274980897128361,0.2758887819006657,0.7241112180993343
subj01,ventral,5,18,10.542328102135947,7.424298175204392,0.2957629374388207,0.7042370625611793
subj01,ventral,5,19,10.050107591549414,6.893614419801328,0.3140755601862619,0.6859244398137381
